customer_id,signup_date,birth_date,city,is_active
1,2025-03-04,1949-12-27,Jerez de la Frontera,True
2,2020-09-30,1960-01-10,Alcalá de Guadaíra,True
3,2025-08-03,2006-06-13,Santiago de Compostela,True
4,2022-09-25,1942-11-07,Jerez de la Frontera,True
5,2020-08-10,1985-05-03,Móstoles,True
6,2020-03-25,2004-03-27,Bilbao,True
7,2022-09-15,1959-10-11,Tarragona,True
8,2018-01-27,2008-01-28,Zaragoza,True
9,2021-10-25,1964-12-05,Teruel,True
10,2021-10-10,1949-03-03,Linares,True
11,2022-01-10,1970-11-09,Móstoles,True
12,2018-06-27,2005-06-19,Reus,True
13,2022-03-31,1947-01-26,Lugo,True
14,2025-01-18,1995-06-28,Cuenca,True
15,2025-11-25,1946-03-29,Córdoba,True
16,2021-03-31,1947-02-27,Santa Cruz de Tenerife,False
17,2022-04-06,1964-12-08,Reus,True
18,2022-02-03,1954-08-04,Guadalajara,True
19,2025-07-08,1963-12-14,San Sebastián,True
20,2025-02-13,1955-05-09,A Coruña,True
21,2019-11-01,1981-06-21,Toledo,True
22,2025-03-06,2001-09-26,Ourense,True
23,2021-08-21,2008-12-05,Granada,True
24,2018-05-12,1968-04-19,Hospitalet de Llobregat,True
25,2020-05-14,1990-11-19,Segovia,True
26,2023-08-07,1975-06-30,San Sebastián,True
27,2020-12-20,1952-07-11,Santander,True
28,2024-01-17,1963-07-28,Madrid,True
29,2024-07-18,1975-10-31,Cuenca,True
30,2019-07-21,1985-09-17,Valencia,True
31,2018-07-12,1949-11-01,Teruel,True
32,2025-08-19,1977-11-15,Getafe,True
33,2022-04-13,1993-06-17,Alicante,True
34,2024-03-16,1941-01-11,Torremolinos,True
35,2024-01-09,2007-05-13,Burgos,True
36,2021-10-25,1950-01-03,Ponferrada,True
37,2023-02-02,1940-04-16,Ávila,False
38,2020-01-02,1985-07-18,Marbella,False
39,2021-05-07,1997-04-28,Gandía,True
40,2019-09-19,1973-07-18,Zaragoza,True
41,2023-12-13,1940-01-19,Getafe,True
42,2018-03-21,1950-01-13,Cuenca,False
43,2021-06-13,1961-06-25,Granada,True
44,2024-05-12,1947-01-24,Jaén,True
45,2018-10-11,2008-03-27,A Coruña,True
46,2019-06-10,1999-03-10,Elche,False
47,2019-11-08,1963-10-12,Cáceres,False
48,2022-09-30,1959-01-01,Santiago de Compostela,True
49,2025-09-26,1958-01-17,Salamanca,True
50,2025-07-14,1998-04-21,Guadalajara,True
51,2023-10-21,1980-07-03,Sevilla,True
52,2018-09-20,1970-05-01,Cádiz,True
53,2020-07-31,1992-10-16,Telde,True
54,2025-12-09,1996-08-13,Granada,True
55,2018-05-09,1969-08-23,Huelva,True
56,2021-02-14,2000-01-07,Castellón de la Plana,True
57,2019-06-26,2004-11-22,Pontevedra,True
58,2020-09-22,2010-05-23,Elche,True
59,2020-02-19,1948-06-17,Málaga,True
60,2021-12-22,1977-12-31,Badalona,True
61,2018-08-10,2000-05-29,Bilbao,False
62,2019-02-08,1945-06-09,Hospitalet de Llobregat,True
63,2019-03-24,1962-04-22,Avilés,True
64,2023-01-12,1952-07-29,Sabadell,True
65,2023-03-10,1962-05-30,Huelva,True
66,2024-03-04,1948-10-13,Lucena,True
67,2024-01-24,1941-04-28,Linares,False
68,2020-08-26,1954-12-02,Badalona,True
69,2020-05-25,1975-12-24,Granada,True
70,2018-01-09,1975-01-10,Ávila,False
71,2023-02-07,1965-08-04,Sabadell,True
72,2024-03-26,1999-05-19,Castellón de la Plana,True
73,2021-04-30,1959-07-13,Granada,True
74,2024-01-30,1945-06-20,Segovia,True
75,2024-07-20,1982-10-10,Gandía,False
76,2023-12-16,1954-02-14,Granada,False
77,2018-11-25,1956-09-02,Motril,True
78,2025-07-28,1961-02-06,Hospitalet de Llobregat,True
79,2024-05-22,1962-02-01,Madrid,True
80,2024-12-11,1947-05-10,Terrassa,True
81,2024-05-04,1986-11-25,Segovia,False
82,2020-04-16,2000-01-31,Segovia,True
83,2022-06-10,1951-09-28,Logroño,True
84,2023-02-16,1968-05-13,Huelva,True
85,2024-12-19,1990-07-05,Málaga,True
86,2020-05-23,1985-05-20,Ávila,True
87,2021-11-30,1946-03-04,Santander,True
88,2019-10-09,1979-04-24,Santiago de Compostela,True
89,2024-11-10,1998-09-02,Cáceres,True
90,2024-03-21,1966-11-10,Barakaldo,True
91,2019-07-05,1963-09-23,Torremolinos,False
92,2024-03-16,1953-12-11,Burgos,True
93,2020-05-12,2004-05-18,Zamora,True
94,2025-02-10,1963-09-07,Gandía,True
95,2018-07-28,1948-04-12,Vitoria-Gasteiz,True
96,2021-02-07,1943-12-15,Almería,True
97,2019-06-20,1997-02-26,Ávila,True
98,2022-12-15,1989-06-29,Sabadell,True
99,2019-04-04,1946-10-01,Teruel,True
100,2022-02-21,1992-04-04,Lugo,True
101,2019-06-07,1943-10-02,Salamanca,True
102,2018-06-13,1972-02-06,Ibiza,True
103,2025-06-24,1949-03-22,Ciudad Real,True
104,2022-07-23,1995-09-06,Teruel,False
105,2020-08-27,1954-07-30,Oviedo,False
106,2018-04-12,1956-02-03,Valladolid,True
107,2022-08-14,2000-02-06,Santander,True
108,2025-11-12,1949-09-12,Toledo,False
109,2023-04-12,1959-12-15,Palma,True
110,2023-03-01,1971-05-15,Salamanca,True
111,2020-07-21,1959-12-31,Jerez de la Frontera,True
112,2022-06-21,1969-06-13,Miranda de Ebro,False
113,2021-02-17,1971-07-03,San Sebastián,True
114,2025-08-15,1988-02-08,Valladolid,False
115,2019-04-18,1963-06-08,Oviedo,True
116,2020-12-23,1943-06-07,Marbella,True
117,2021-11-16,2005-05-11,Segovia,True
118,2023-09-26,1950-05-17,Talavera de la Reina,False
119,2020-02-18,1962-11-07,Córdoba,True
120,2018-01-07,1986-08-23,A Coruña,True
121,2025-07-09,1957-09-04,Cuenca,True
122,2025-06-13,1969-08-15,Cartagena,True
123,2019-05-26,2004-07-27,Palencia,True
124,2025-06-24,1976-08-21,Soria,True
125,2021-04-26,1989-09-26,Dos Hermanas,True
126,2025-06-16,1974-01-05,Oviedo,True
127,2021-05-17,1976-06-06,Lugo,True
128,2021-05-29,1965-09-27,Ibiza,True
